source_feed_id,source_feed_folder,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,original_route_id,original_agency_id
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_8000020221007_5,,井川線,,3,,000000,i1,8000020221007_5
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_8000020221007_5,,井川線,,3,,000000,i2,8000020221007_5
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_8000020221007_7,,医療・福祉施設路線,,3,04301D,FFFFFF,f1,8000020221007_7
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_8000020221007_7,,医療・福祉施設路線,,3,04301D,FFFFFF,f2,8000020221007_7
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_8000020221007_4,,両河内線,,3,,000000,t1,8000020221007_4
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_o1,feed_shizuokacity_ryougouchi_20260401_20260630200904_8000020221007_4,,両河内線,,3,,000000,o1,8000020221007_4
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_z1,feed_shizuokacity_ryougouchi_20260401_20260630200904_8000020221007_4,,両河内線,,3,,000000,z1,8000020221007_4
feed_shizuokacity_yui_kanbara_20260401_20260630200146,feed_shizuokacity_yui-kanbara_20260401_20260630200146,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b1,feed_shizuokacity_yui_kanbara_20260401_20260630200146_8000020221007_2,,由比蒲原病院線,,3,,000000,b1,8000020221007_2
feed_shizuokacity_yui_kanbara_20260401_20260630200146,feed_shizuokacity_yui-kanbara_20260401_20260630200146,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b2,feed_shizuokacity_yui_kanbara_20260401_20260630200146_8000020221007_2,,由比蒲原病院線,,3,,000000,b2,8000020221007_2
feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723_y1,feed_shizuokacity_yui_20260401_20260630174723_8000020221007_1,,ゆいばす,,3,,000000,y1,8000020221007_1
feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723_y2,feed_shizuokacity_yui_20260401_20260630174723_8000020221007_1,,ゆいばす,,3,,000000,y2,8000020221007_1
feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723_y3,feed_shizuokacity_yui_20260401_20260630174723_8000020221007_1,,ゆいばす,,3,,000000,y3,8000020221007_1
feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723_y4,feed_shizuokacity_yui_20260401_20260630174723_8000020221007_1,,ゆいばす,,3,,000000,y4,8000020221007_1
feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723_y5,feed_shizuokacity_yui_20260401_20260630174723_8000020221007_1,,ゆいばす,,3,,000000,y5,8000020221007_1
feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723_y6,feed_shizuokacity_yui_20260401_20260630174723_8000020221007_1,,ゆいばす,,3,,000000,y6,8000020221007_1
feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723_y7,feed_shizuokacity_yui_20260401_20260630174723_8000020221007_1,,ゆいばす,,3,,000000,y7,8000020221007_1
feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723_y8,feed_shizuokacity_yui_20260401_20260630174723_8000020221007_1,,ゆいばす,,3,,000000,y8,8000020221007_1
